NCM8,NCM,IPI_raw,IPI_rate
03054200,0305.42.00,,
03054300,0305.43.00,,
03054400,0305.44.00,,
03054910,0305.49.10,,
03054920,0305.49.20,,
03054990,0305.49.90,,
03055100,0305.51.00,,
03055200,0305.52.00,,
03055310,0305.53.10,,
03055390,0305.53.90,,
03055400,0305.54.00,,
03055900,0305.59.00,,
03056100,0305.61.00,,
03056200,0305.62.00,,
03056300,0305.63.00,,
03056400,0305.64.00,,
03056910,0305.69.10,,
03056990,0305.69.90,,
03057100,0305.71.00,,
03057200,0305.72.00,,
03057900,0305.79.00,,
03061110,0306.11.10,,
03061190,0306.11.90,,
03061200,0306.12.00,,
03061400,0306.14.00,,
03061500,0306.15.00,,
03061610,0306.16.10,,
03061690,0306.16.90,,
03061710,0306.17.10,,
03061790,0306.17.90,,
03061910,0306.19.10,,
03061990,0306.19.90,,
03063100,0306.31.00,,
03063200,0306.32.00,,
03063300,0306.33.00,,
03063400,0306.34.00,,
03063500,0306.35.00,,
03063600,0306.36.00,,
03063910,0306.39.10,,
03063990,0306.39.90,,
03069100,0306.91.00,,
03069200,0306.92.00,,
03069300,0306.93.00,,
03069400,0306.94.00,,
03069500,0306.95.00,,
03069910,0306.99.10,,
03069990,0306.99.90,,
03071100,0307.11.00,,
03071200,0307.12.00,,
03071900,0307.19.00,,
03072100,0307.21.00,,
03072200,0307.22.00,,
03072900,0307.29.00,,
03073100,0307.31.00,,
03073200,0307.32.00,,
03073900,0307.39.00,,
03074200,0307.42.00,,
03074310,0307.43.10,,
03074320,0307.43.20,,
03074900,0307.49.00,,
03075100,0307.51.00,,
03075200,0307.52.00,,
03075900,0307.59.00,,
03076000,0307.60.00,,
03077100,0307.71.00,,
03077200,0307.72.00,,
03077900,0307.79.00,,
03078100,0307.81.00,,
03078200,0307.82.00,,
03078300,0307.83.00,,
03078400,0307.84.00,,
03078700,0307.87.00,,
03078800,0307.88.00,,
03079100,0307.91.00,,
03079200,0307.92.00,,
03079900,0307.99.00,,
03081100,0308.11.00,,
03081200,0308.12.00,,
03081900,0308.19.00,,
03082100,0308.21.00,,
03082200,0308.22.00,,
03082900,0308.29.00,,
03083000,0308.30.00,,
03089000,0308.90.00,,
03091000,0309.10.00,,
03099000,0309.90.00,,
04011010,0401.10.10,NT,0.0
04011090,0401.10.90,NT,0.0
04012010,0401.20.10,NT,0.0
04012090,0401.20.90,NT,0.0
04014010,0401.40.10,NT,0.0
04014021,0401.40.21,NT,0.0
04014029,0401.40.29,NT,0.0
04015010,0401.50.10,NT,0.0
04015021,0401.50.21,NT,0.0
04015029,0401.50.29,NT,0.0
04021010,0402.10.10,,
04021090,0402.10.90,,
04022110,0402.21.10,,
04022120,0402.21.20,,
04022130,0402.21.30,,
04022910,0402.29.10,,
04022920,0402.29.20,,
04022930,0402.29.30,,
04029100,0402.91.00,,
04029900,0402.99.00,,
04032000,0403.20.00,NT,0.0
04039000,0403.90.00,NT,0.0
04041000,0404.10.00,,
04049000,0404.90.00,NT,0.0
04051000,0405.10.00,,
04052000,0405.20.00,,
04059010,0405.90.10,,
04059090,0405.90.90,,
04061010,0406.10.10,,
04061090,0406.10.90,,
04062000,0406.20.00,,
04063000,0406.30.00,,
04064000,0406.40.00,,
04069010,0406.90.10,,
04069020,0406.90.20,,
04069030,0406.90.30,,
04069090,0406.90.90,,
04071100,0407.11.00,NT,0.0
04071900,0407.19.00,NT,0.0
04072100,0407.21.00,NT,0.0
04072900,0407.29.00,NT,0.0
04079000,0407.90.00,,
04081100,0408.11.00,,
04081900,0408.19.00,,
04089100,0408.91.00,,
04089900,0408.99.00,,
04090000,0409.00.00,NT,0.0
04101000,0410.10.00,,
04109000,0410.90.00,,
05010000,0501.00.00,NT,0.0
05021011,0502.10.11,NT,0.0
05021019,0502.10.19,NT,0.0
05021090,0502.10.90,NT,0.0
05029010,0502.90.10,NT,0.0
05029020,0502.90.20,NT,0.0
05040011,0504.00.11,NT,0.0
05040012,0504.00.12,NT,0.0
05040013,0504.00.13,NT,0.0
05040019,0504.00.19,NT,0.0
05040090,0504.00.90,NT,0.0
05051000,0505.10.00,NT,0.0
05059000,0505.90.00,NT,0.0
05061000,0506.10.00,NT,0.0
05069000,0506.90.00,NT,0.0
05071000,0507.10.00,NT,0.0
05079000,0507.90.00,NT,0.0
05080000,0508.00.00,,
05100010,0510.00.10,NT,0.0
05100090,0510.00.90,NT,0.0
05111000,0511.10.00,NT,0.0
05119110,0511.91.10,NT,0.0
05119190,0511.91.90,NT,0.0
05119910,0511.99.10,NT,0.0
05119920,0511.99.20,NT,0.0
05119930,0511.99.30,NT,0.0
05119991,0511.99.91,NT,0.0
05119999,0511.99.99,NT,0.0
06011000,0601.10.00,NT,0.0
06012000,0601.20.00,,
06021000,0602.10.00,NT,0.0
06022000,0602.20.00,NT,0.0
06023000,0602.30.00,NT,0.0
06024000,0602.40.00,NT,0.0
06029010,0602.90.10,NT,0.0
06029021,0602.90.21,NT,0.0
06029029,0602.90.29,NT,0.0
06029081,0602.90.81,NT,0.0
06029082,0602.90.82,NT,0.0
06029083,0602.90.83,NT,0.0
06029089,0602.90.89,NT,0.0
06029090,0602.90.90,NT,0.0
06031100,0603.11.00,NT,0.0
06031200,0603.12.00,NT,0.0
06031300,0603.13.00,NT,0.0
06031400,0603.14.00,NT,0.0
06031500,0603.15.00,NT,0.0
06031900,0603.19.00,NT,0.0
06039000,0603.90.00,NT,0.0
06042000,0604.20.00,NT,0.0
06049000,0604.90.00,NT,0.0
07011000,0701.10.00,NT,0.0
07019000,0701.90.00,NT,0.0
07020000,0702.00.00,NT,0.0
07031011,0703.10.11,NT,0.0
07031019,0703.10.19,NT,0.0
07031021,0703.10.21,NT,0.0
07031029,0703.10.29,NT,0.0
07032010,0703.20.10,NT,0.0
07032090,0703.20.90,NT,0.0
07039010,0703.90.10,NT,0.0
07039090,0703.90.90,NT,0.0
07041000,0704.10.00,NT,0.0
07042000,0704.20.00,NT,0.0
07049000,0704.90.00,NT,0.0
07051100,0705.11.00,NT,0.0
07051900,0705.19.00,NT,0.0
07052100,0705.21.00,NT,0.0
07052900,0705.29.00,NT,0.0
07061000,0706.10.00,NT,0.0
07069000,0706.90.00,NT,0.0
07070000,0707.00.00,NT,0.0
07081000,0708.10.00,NT,0.0
07082000,0708.20.00,NT,0.0
07089000,0708.90.00,NT,0.0
07092000,0709.20.00,NT,0.0
07093000,0709.30.00,NT,0.0
07094000,0709.40.00,NT,0.0
07095100,0709.51.00,NT,0.0
07095200,0709.52.00,NT,0.0
07095300,0709.53.00,NT,0.0
07095400,0709.54.00,NT,0.0
07095500,0709.55.00,,
07095600,0709.56.00,NT,0.0
07095900,0709.59.00,NT,0.0
07096000,0709.60.00,NT,0.0
07097000,0709.70.00,NT,0.0
07099100,0709.91.00,NT,0.0
07099200,0709.92.00,NT,0.0
07099300,0709.93.00,NT,0.0
07099911,0709.99.11,NT,0.0
07099919,0709.99.19,NT,0.0
07099990,0709.99.90,NT,0.0
07101000,0710.10.00,NT,0.0
07102100,0710.21.00,NT,0.0
07102200,0710.22.00,NT,0.0
07102900,0710.29.00,NT,0.0
07103000,0710.30.00,NT,0.0
07104000,0710.40.00,,
07108000,0710.80.00,NT,0.0
07109000,0710.90.00,NT,0.0
07112010,0711.20.10,NT,0.0
07112020,0711.20.20,NT,0.0
07112090,0711.20.90,,
07114000,0711.40.00,,
07115100,0711.51.00,,
07115900,0711.59.00,,
07119000,0711.90.00,,
07122000,0712.20.00,,
07123100,0712.31.00,,
07123200,0712.32.00,,
07123300,0712.33.00,,
07123400,0712.34.00,,
07123900,0712.39.00,,
07129010,0712.90.10,,
07129090,0712.90.90,,
